filename,title,product,url
1af3fa0f-edf3-4a41-bcec-7436d0689bd8.pdf,AQUA CHEM¨ OPTIMUM DUAL LAYER CHLOR. TAB,Recreational Water Product,
0ffeb4ae-2e36-4400-8cfc-a63611011d44.pdf,"ROUX Tween Time Crayon Black",hair care,
